Angélica,Nãoelegível,Luan,Cézar,Marco,Mariza,Cézar,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),6
Aline,Indicada,Francieli,Angélica,Luan,Amanda,Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),3
Marco,Nãoelegível,Francieli,Angélica,Luan,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),7
Douglas,Nãoelegível,Mariza,Rafael,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),2
Francieli,Nãoelegível,Luan,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),6
Julia,Indicada,Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),Eliminada(Dia 6),0
,,,,,,,,,,,,,,,,,,,
Notas,1,2,"3, 4","5, 6",7,8,"9, 10","11, 12",13,14,15,"16, 17",18,
Paredão,AlineJulia,DouglasFrancieli,AdrillesDouglas,FernandoMarco,AlineAmandaMariza,AngélicaLuanMariza,CézarLuanTalita,CézarLuan,CézarRafael,CézarMariza,AdrillesCézar,AmandaFernando,AmandaCézar,
Desistente,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Tamires,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Eliminado,Julia47%para continuar,Francieli58%para eliminar,Douglas63%para eliminar,Marco52%para eliminar,Aline53%para eliminar,Angélica69%para eliminar,Talita60%para eliminar,Luan87%para eliminar,Rafael77%para eliminar,"Mariza50,22%para eliminar",Adrilles65%para eliminar,Fernando78%para eliminar,Amanda35%para vencer,
Outras %,Aline53%para continuar,Douglas42%para eliminar,Adrilles37%para eliminar,Fernando48%para eliminar,Amanda45%para eliminar,Mariza23%para eliminar,Cézar29%para eliminar,Cézar13%para eliminar,Cézar23%para eliminar,"Cézar49,78%para eliminar",Cézar35%para eliminar,Amanda22%para eliminar,Cézar65%para vencer,
Outras %,Aline53%para continuar,Douglas42%para eliminar,Adrilles37%para eliminar,Fernando48%para eliminar,Mariza2%para eliminar,Luan8%para eliminar,Luan11%para eliminar,Cézar13%para eliminar,Cézar23%para eliminar,"Cézar49,78%para eliminar",Cézar35%para eliminar,Amanda22%para eliminar,Cézar65%para vencer,
