,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Votos recebidos
,Dia 2,Dia 6,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 75,Final,Votos recebidos
Líder,(nenhum),Mariza,Rafael,Amanda,Luan,Fernando,Adrilles,Amanda,Fernando,Amanda,Amanda,(nenhum),(nenhum),
Anjo,(nenhum),Marco,Angélica,Talita,Tamires,Tamires,Tamires,Luan,Adrilles,Mariza,(nenhum),(nenhum),(nenhum),
Imunizado,(nenhum),Adrilles,Amanda,Rafael,Adrilles,Talita,Tamires,Rafael,Mariza,Adrilles,(nenhum),(nenhum),(nenhum),
Big Fone,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Luan,(nenhum),(nenhum),(nenhum),(nenhum),Fernando,(nenhum),(nenhum),
Indicado(Big Fone),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),Luan,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),AmandaFernando,(nenhum),
Indicado(Líder),(nenhum),Douglas,Douglas,Fernando,Aline,Angélica,Luan,Luan,Cézar,Mariza,Adrilles,AmandaFernando,(nenhum),
Indicado(Casa),(nenhum),Francieli,Adrilles,Marco,AmandaMariza,Mariza,CézarTalita,Cézar,Rafael,Cézar,Cézar,AmandaFernando,(nenhum),
,,,,,,,,,,,,,,,,,,,
Cézar,Nãoelegível,Marco,Aline,Aline,Angélica,Amanda,Adrilles,Fernando,Fernando,Amanda,Fernando,Finalista,Vencedor(Dia 78),15
Amanda,Nãoelegível,Luan,Adrilles,Marco,Mariza,Mariza,Cézar,Cézar,Adrilles,Líder,Líder,Paredão,2º lugar(Dia 78),6
Fernando,Nãoelegível,Francieli,Angélica,Luan,Amanda,Líder,Cézar,Luan,Líder,Cézar,Cézar,Paredão,Eliminado(Dia 76),6
Adrilles,Nãoelegível,Francieli,Angélica,Luan,Amanda,Rafael,Talita,Cézar,Rafael(×2),Cézar,Cézar,Eliminado(Dia 71),Eliminado(Dia 71),9
Mariza,Nãoelegível,Líder,Tamires,Luan,Amanda,Rafael,Talita,Luan,Rafael,Fernando,Eliminada(Dia 64),Eliminada(Dia 64),Eliminada(Dia 64),12
Rafael,Nãoelegível,Francieli,Adrilles,Marco,Mariza,Cézar,Cézar,Adrilles,Adrilles,Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),6
Luan,Nãoelegível,Marco,Adrilles,Marco,Líder,Mariza,Fernando,Cézar,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),12
Tamires,Nãoelegível,Talita,Adrilles,Marco,Mariza,Mariza,Cézar,Desistente(Dia 48),Desistente(Dia 48),Desistente(Dia 48),Desistente(Dia 48),Desistente(Dia 48),Desistente(Dia 48),1
Talita,Nãoelegível,Francieli,Adrilles,Marco,Mariza,Mariza,Mariza,Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),2
