,,Sem 1,Sem 2,Sem 3,Sem 3,Sem 3,Sem 4,Sem 4,Sem 5,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 9,Sem 10,Sem 10,Sem 11,Sem 11,Votos recebidos
,Cristiano,Líder,Rodrigo,Diogo,Diana,Diana,CasaBBB,Diana,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),6
,Igor,Diana,Rodrigo,Líder,Líder,Diana,BolhaBBB,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),1
,Michelly,Maria,Maria,Rodrigão,Jaqueline,Eliminada(Dia 20),BolhaBBB,Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),Eliminada(Dia 20),9
,Rodrigo,Janaína,Michelly,Daniel,Michelly,Eliminado(Dia 20),BolhaBBB,Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),Eliminado(Dia 20),5
,Ariadna,Janaína,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),BolhaBBB,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),1
,,,,,,,,,,,,,,,,,,,,
Notas,Notas,[1][2][3],[4][5][6][7],[8][9],[8][9],[10],[11],[12],[13],(nenhuma),[14][15],[16][17][18],[19][20][21],[22],[23][24],[25],[26],[27],[28],
Paredão,Paredão,AriadnaJanaínaLucival,DiogoMaurício,RodrigãoRodrigo,MariaMichelly,DianaIgor,AriadnaIgorMaurícioMichellyRodrigo,CristianoRodrigão,DianaLucivalNatália,AdrianaNatália,AdrianaRodrigãoWesley,DiogoJanaínaPaula,DanielTalulaWesley,DianaMaurícioWesley,JaquelineRodrigãoWesley,DianaPaulaWesley,DanielDianaRodrigão,DianaMariaWesley,DanielMariaWesley,
Eliminado,Eliminado,Ariadna49%para eliminar,"Maurício50,81%para eliminar",Rodrigo62%para eliminar,Michelly56%para eliminar,Igor55%para eliminar,Maurício40%para retornar,Cristiano78%para eliminar,Lucival48%para eliminar,Natália54%para eliminar,Adriana45%para eliminar,Diogo44%para eliminar,Talula61%para eliminar,Maurício63%para eliminar,Jaqueline63%para eliminar,Paula63%para eliminar,Rodrigão51%para eliminar,Diana75%para eliminar,Daniel26%para vencer,
Eliminado,Eliminado,Ariadna49%para eliminar,"Maurício50,81%para eliminar",Rodrigo62%para eliminar,Michelly56%para eliminar,Igor55%para eliminar,Maurício40%para retornar,Cristiano78%para eliminar,Lucival48%para eliminar,Natália54%para eliminar,Adriana45%para eliminar,Janaína33%para eliminar,Talula61%para eliminar,Maurício63%para eliminar,Jaqueline63%para eliminar,Paula63%para eliminar,Rodrigão51%para eliminar,Diana75%para eliminar,Wesley31%para vencer,
Outras %,Outras %,Lucival27%para eliminar,"Diogo49,19%para eliminar",Rodrigão38%para eliminar,Maria44%para eliminar,Diana45%para eliminar,Ariadna23%para retornar,Rodrigão22%para eliminar,Diana41%para eliminar,Adriana46%para eliminar,Wesley43%para eliminar,Paula23%para eliminar,Wesley31%para eliminar,Diana34%para eliminar,Rodrigão20%para eliminar,Diana34%para eliminar,Diana43%para eliminar,Maria16%para eliminar,Maria43%para vencer,
Outras %,Outras %,Lucival27%para eliminar,"Diogo49,19%para eliminar",Rodrigão38%para eliminar,Maria44%para eliminar,Diana45%para eliminar,Rodrigo16%para retornar,Rodrigão22%para eliminar,Diana41%para eliminar,Adriana46%para eliminar,Wesley43%para eliminar,Paula23%para eliminar,Wesley31%para eliminar,Diana34%para eliminar,Rodrigão20%para eliminar,Diana34%para eliminar,Diana43%para eliminar,Maria16%para eliminar,Maria43%para vencer,
Outras %,Outras %,Janaína24%para eliminar,"Diogo49,19%para eliminar",Rodrigão38%para eliminar,Maria44%para eliminar,Diana45%para eliminar,Michelly15%para retornar,Rodrigão22%para eliminar,Natália11%para eliminar,Adriana46%para eliminar,Rodrigão12%para eliminar,Paula23%para eliminar,Daniel8%para eliminar,Wesley3%para eliminar,Wesley17%para eliminar,Wesley3%para eliminar,Daniel6%para eliminar,Wesley9%para eliminar,Maria43%para vencer,
Outras %,Outras %,Janaína24%para eliminar,"Diogo49,19%para eliminar",Rodrigão38%para eliminar,Maria44%para eliminar,Diana45%para eliminar,Igor6%para retornar,Rodrigão22%para eliminar,Natália11%para eliminar,Adriana46%para eliminar,Rodrigão12%para eliminar,Paula23%para eliminar,Daniel8%para eliminar,Wesley3%para eliminar,Wesley17%para eliminar,Wesley3%para eliminar,Daniel6%para eliminar,Wesley9%para eliminar,Maria43%para vencer,
