,,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 11,Sem 12,Votos recebidos
,,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Dia 67,Dia 70,Dia 74,Dia 77,Final,Votos recebidos
Líder,Líder,João Carvalho,João Mauricio,Laisa,Renata,Laisa,Fael,Fabiana,Yuri,Kelly,Jonas,Fabiana,Fabiana,Fabiana,(nenhum),
Anjo,Anjo,João Mauricio,Jonas,Ronaldo,Rafa,Yuri,Renata,Rafa,Jonas,Monique,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,Fael,Fabiana,Yuri,Monique,MoniqueYuri,Rafa,Renata,Kelly,Monique,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,(nenhum),(nenhum),Fael,Laisa,Kelly,(nenhum),Jonas,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Líder),Indicado(Líder),Analice,Renata,Mayara,Fabiana,Jonas,Laisa,Rafa,João Carvalho,Yuri,João Carvalho,João Carvalho,Jonas,FaelJonas,(nenhum),
Indicado(Casa),Indicado(Casa),Jakeline,Jakeline,Fael,Ronaldo,João Mauricio,João Carvalho,Yuri,Renata,João Carvalho,Monique,Fael,Kelly,FaelJonas,(nenhum),
,,,,,,,,,,,,,,,,
,Fael,Daniel,Ronaldo,Ronaldo,Ronaldo,João Carvalho,Líder,Yuri,Renata,João Carvalho,Monique,Kelly,Nãoelegível,Paredão,Vencedor(Dia 80),11
,Fabiana,Renata,Ronaldo,Rafa,Yuri,Rafa,Yuri,Yuri,Renata,João Carvalho,Monique,Fael,Líder,Líder,2º lugar(Dia 80),8
,Jonas,Jakeline,Yuri,Ronaldo,Ronaldo,João Carvalho,João Carvalho,Yuri,Renata,João Carvalho,Líder,Kelly,Kelly,Paredão,Eliminado(Dia 78),5
,Kelly,Renata,Yuri,Rafa,Ronaldo,Rafa,Yuri,Yuri,Renata,Líder,Monique,Fael,Nãoelegível,Eliminada(Dia 76),Eliminada(Dia 76),9
,João Carvalho,Líder,Yuri,Fabiana,João Mauricio,João Mauricio,Jonas,Yuri,Renata,Jonas,Fael,Fael,Eliminado(Dia 71),Eliminado(Dia 71),Eliminado(Dia 71),17
,Monique,Jakeline,Jakeline,Fael,Laisa,João Mauricio,João Carvalho,Kelly,Jonas,Fabiana,Fael,Eliminada(Dia 69),Eliminada(Dia 69),Eliminada(Dia 69),Eliminada(Dia 69),3
,Yuri,Jakeline,Jakeline,Fael,João Carvalho,João Mauricio,João Carvalho,Kelly,Líder,João Carvalho,Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),13
,Renata,Fabiana,Fael,Fael,Líder,João Mauricio,João Carvalho,Kelly,Fabiana,Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),10
,Rafa,Jakeline,Jakeline,Kelly,Laisa,Fael,João Carvalho,Kelly,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),5
,Laisa,Fabiana,Jakeline,Líder,Ronaldo,Líder,João Carvalho,Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),5
,João Mauricio,Renata,Líder,Ronaldo,Ronaldo,João Carvalho,Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),Eliminado(Dia 36),5
,Ronaldo,Jakeline,Jakeline,Fael,Laisa,Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),Eliminado(Dia 29),10
,Mayara,Jakeline,Jakeline,Fabiana,Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),1
,Jakeline,Renata,Yuri,Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),Eliminada(Dia 15),12
,Analice,Laisa,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),1
,Daniel,Fabiana,Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),Expulso(Dia 7),1
,,,,,,,,,,,,,,,,
Notas,Notas,[1][2][3],[4],[5],[6],[7][8],[9],[10][11],(nenhuma),[12],(nenhuma),[13],[14],[15],[16],
Paredão,Paredão,AnaliceJakeline,JakelineRenata,FaelMayara,FabianaRonaldo,João MauricioJonas,João CarvalhoLaisa,RafaYuri,João CarvalhoRenata,João CarvalhoYuri,João CarvalhoMonique,FaelJoão Carvalho,JonasKelly,FaelJonas,FabianaFael,
Expulso,Expulso,Daniel,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Eliminado,Eliminado,Analice53%para eliminar,"Jakeline50,47%para eliminar",Mayara74%para eliminar,Ronaldo81%para eliminar,João Mauricio52%para eliminar,Laisa88%para eliminar,Rafa92%para eliminar,Renata66%para eliminar,"Yuri51,23%para eliminar",Monique52%para eliminar,João Carvalho86%para eliminar,Kelly57%para eliminar,Jonas54%para eliminar,Fabiana8%para vencer,
Eliminado,Eliminado,Analice53%para eliminar,"Jakeline50,47%para eliminar",Mayara74%para eliminar,Ronaldo81%para eliminar,João Mauricio52%para eliminar,Laisa88%para eliminar,Rafa92%para eliminar,Renata66%para eliminar,"Yuri51,23%para eliminar",Monique52%para eliminar,João Carvalho86%para eliminar,Kelly57%para eliminar,Jonas54%para eliminar,Fael92%para vencer,
Outras %,Outras %,Jakeline47%para eliminar,"Renata49,53%para eliminar",Fael26%para eliminar,Fabiana19%para eliminar,Jonas48%para eliminar,João Carvalho12%para eliminar,Yuri8%para eliminar,João Carvalho34%para eliminar,"João Carvalho48,77%para eliminar",João Carvalho48%para eliminar,Fael14%para eliminar,Jonas43%para eliminar,Fael46%para eliminar,Fael92%para vencer,
