,,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 12,Sem 13,Sem 13,Sem 13,Sem 14,Sem 14,Sem 14,Votos recebidos
,,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 12,Dia 86,Dia 88,Dia 91,Dia 93,Dia 96,Final,Votos recebidos
Líder,Líder,Nego Di,Arthur,Karol,Sarah,João Luiz,Rodolffo,Fiuk,Gilberto,Arthur,Viih Tube,Viih Tube,Caio,Viih Tube,Gilberto,Pocah,Gilberto,Juliette,(nenhum),(nenhum),
Anjo,Anjo,Rodolffo,Carla,Caio,Caio,Caio,Arthur,Projota,Viih Tube,Thaís,FiukGilberto,FiukGilberto,João Luiz,Camilla,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,Caio,Camilla,Rodolffo,Rodolffo,Caio,Projota,Arthur,Thaís,Viih Tube,João Luiz,João Luiz,Camilla,Camilla,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,ArcrebianoJoão Luiz,ArcrebianoGilbertoThaís,(nenhum),(nenhum),Carla,(nenhum),(nenhum),(nenhum),Gilberto,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),ArcrebianoRodolffoSarah,JulietteKarolThaís,(nenhum),(nenhum),FiukLumenaRodolffo,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),CamillaGilbertoJuliette,(nenhum),
Indicado(Contragolpe),Indicado(Contragolpe),(nenhum),(nenhum),Nego Di,(nenhum),(nenhum),CaioPocah,(nenhum),(nenhum),RodolffoThaís,Juliette,Juliette,(nenhum),(nenhum),(nenhum),Fiuk,Pocah,(nenhum),CamillaGilbertoJuliette,(nenhum),
Indicado(Líder),Indicado(Líder),Kerline,Gilberto,Sarah,Karol,Projota,CarlaJoão Luiz,Projota,Rodolffo,Juliette,Gilberto,Gilberto,Thaís,FiukGilberto,Pocah,Gilberto,Camilla,Pocah,CamillaGilbertoJuliette,(nenhum),
Indicado(Casa),Indicado(Casa),Arcrebiano,Arcrebiano,Fiuk,GilbertoProjota,Arthur,Arthur,GilbertoPocahThaís,Caio,Sarah,Rodolffo,Caio,ArthurPocah,ArthurCaio,ArthurJoão Luiz,Viih Tube,Arthur,CamillaGilberto,CamillaGilbertoJuliette,(nenhum),
Bate e Volta(Indicados),Bate e Volta(Indicados),ArcrebianoRodolffoSarah,ArcrebianoJulietteKarol,(nenhum),ArthurGilbertoProjota,ArthurLumenaRodolffo,ArthurCaioPocah,GilbertoPocahThaís,CaioCarlaFiuk,RodolffoSarahThaís,CaioJulietteRodolffo,CaioJulietteRodolffo,ArthurFiukPocah,ArthurCaio,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Bate e Volta(Salvo),Bate e Volta(Salvo),Arcrebiano,Karol,(nenhum),Projota,Rodolffo,Pocah,Gilberto,Caio,Thaís,Juliette,Juliette,Pocah,Arthur,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
,,,,,,,,,,,,,,,,,,,,(nenhum),,,
,Caio,Camilla,Fiuk,Fiuk,Camilla,Camilla,Camilla,Thaís,Juliette,Sarah,Juliette,Juliette,Líder,João LuizJuliette,Eliminado(Dia 86),Eliminado(Dia 86),Eliminado(Dia 86),Eliminado(Dia 86),Eliminado(Dia 86),Eliminado(Dia 86),20
,Thaís,Arcrebiano,Arcrebiano,Projota,Projota,Arthur,Arthur,Gilberto,Caio,Rodolffo,Caio,Caio,Arthur,Eliminada(Dia 79),Eliminada(Dia 79),Eliminada(Dia 79),Eliminada(Dia 79),Eliminada(Dia 79),Eliminada(Dia 79),Eliminada(Dia 79),15
,Rodolffo,João Luiz,Fiuk,Fiuk,João Luiz,Carla,Líder,Thaís,Juliette,Sarah,Juliette,Juliette,Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),Eliminado(Dia 72),14
,Sarah,João Luiz,Lumena,Fiuk,Líder,Pocah,Pocah,Pocah,Juliette,Pocah,Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),Eliminada(Dia 65),8
,Carla,Arcrebiano,Arcrebiano,Lumena,Lumena,Gilberto,Caio,Gilberto,Caio,Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),Eliminada(Dia 58),8
,Projota,Thaís,Arcrebiano,Thaís,Gilberto,Thaís,Thaís,Thaís,Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),Eliminado(Dia 51),8
,Lumena,Thaís,Arcrebiano,Juliette,Carla,Arthur,Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),Eliminada(Dia 37),9
,Karol,Carla,Arcrebiano,Líder,Gilberto,Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),Eliminada(Dia 30),2
,Nego Di,Líder,Carla,Juliette,Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),Eliminado(Dia 23),2
,Arcrebiano,Camilla,Lumena,Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),Eliminado(Dia 16),18
