,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 12,Sem 12,Votosrecebidos
,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Dia 82,Final,Votosrecebidos
Líder,Cristiano,Zulu,Zulu,Rogério,Marcelo,Solange,Marcelo,Juliana,Solange,Solange,Thiago,Thiago,(nenhum),
Anjo,(nenhum),Buba,Marcela,Thiago,Thiago,Rogério,Marcela,Solange,Marcela,Cida,(nenhum),(nenhum),(nenhum),
Imunizado,(nenhum),Marcela,Antonela,Cida,Cida,Marcelo,Juliana,Rogério,Juliana,Thiago,(nenhum),(nenhum),(nenhum),
Indicado(Líder),Tatiana,Cristiano,Cristiano,Juliana,Solange,Buba,Solange,Marcelo,Marcela,Marcela,Juliana,CidaJuliana,(nenhum),
Indicado(Casa),Juliana,Eduardo,Thiago,Antonela,Géris,Juliana,Zulu,Marcela,Rogério,Juliana,Solange,CidaJuliana,(nenhum),
,,,,,,,,,,,,,,
Cida,Juliana,Eduardo,Buba,Antonela,Zulu,Zulu,Zulu,Marcela,Rogério,Juliana,Nãoelegível,Paredão,Vencedora(Dia 85),9
Thiago,Antonela,Eduardo,Marcela,Antonela,Marcela,Marcela,Zulu,Marcela,Rogério,Juliana,Líder,Líder,2º lugar(Dia 85),7
Juliana,Marcela,Eduardo,Rogério,Antonela,Rogério,Zulu,Zulu,Líder,Rogério,Cida,Solange,Paredão,Eliminada(Dia 83),18
Solange,Marcela,Antonela,Thiago,Antonela,Buba,Líder,Zulu,Marcela,Líder,Juliana,Nãoelegível,Eliminada(Dia 78),Eliminada(Dia 78),9
Marcela,Juliana,Rogério,Thiago,Solange,Juliana,Thiago,Zulu,Thiago,Rogério,Cida,Eliminada(Dia 71),Eliminada(Dia 71),Eliminada(Dia 71),14
Rogério,Marcela,Géris,Juliana,Líder,Géris,Juliana,Cida,Marcela,Cida,Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),7
Marcelo,Juliana,Cida,Solange,Solange,Géris,Cida,Líder,Cida,Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),4
Zulu,Eduardo,Líder,Líder,Thiago,Juliana,Juliana,Thiago,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),9
Buba,Marcela,Cida,Cida,Solange,Géris,Juliana,Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),3
Géris,Juliana,Eduardo,Marcelo,Antonela,Zulu,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),4
Antonela,Juliana,Solange,Thiago,Solange,Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),7
Cristiano,Líder,Marcelo,Marcelo,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),2
Eduardo,Marcela,Juliana,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),5
Tatiana,Juliana,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),1
,,,,,,,,,,,,,,
Notas,1,(nenhuma),(nenhuma),(nenhuma),2,(nenhuma),(nenhuma),(nenhuma),(nenhuma),3,4,5,6,
Paredão,JulianaTatiana,CristianoEduardo,CristianoThiago,AntonelaJuliana,GérisSolange,BubaJuliana,SolangeZulu,MarcelaMarcelo,MarcelaRogério,JulianaMarcela,JulianaSolange,CidaJuliana,CidaThiago,
Eliminado,Tatiana62%para eliminar,Eduardo63%para eliminar,Cristiano59%para eliminar,Antonela58%para eliminar,Géris69%para eliminar,Buba66%para eliminar,Zulu80%para eliminar,Marcelo68%para eliminar,Rogério58%para eliminar,Marcela64%para eliminar,Solange79%para eliminar,Juliana60%para eliminar,Thiago31%para vencer,
Eliminado,Tatiana62%para eliminar,Eduardo63%para eliminar,Cristiano59%para eliminar,Antonela58%para eliminar,Géris69%para eliminar,Buba66%para eliminar,Zulu80%para eliminar,Marcelo68%para eliminar,Rogério58%para eliminar,Marcela64%para eliminar,Solange79%para eliminar,Juliana60%para eliminar,Cida69%para vencer,
Outras %,Juliana38%para eliminar,Cristiano37%para eliminar,Thiago41%para eliminar,Juliana42%para eliminar,Solange31%para eliminar,Juliana34%para eliminar,Solange20%para eliminar,Marcela32%para eliminar,Marcela42%para eliminar,Juliana36%para eliminar,Juliana21%para eliminar,Cida40%para eliminar,Cida69%para vencer,
