,,Sem 1,Sem 1,Sem 1,Sem 2,Sem 2,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 10,Sem 11,Sem 11,Sem 11,Votos recebidos
,Amanda,Diego,Princy,Princy,Franciele,Franciele,Cássio,Diego,Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),Eliminada(Dia 22),11
,Vagner,Clara,Roni,Marcelo,Tatiele,Junior,Angela,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),3
,Bella,Franciele,Princy,Cássio,Franciele,Franciele,Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),Eliminada(Dia 13),2
,Princy,Vanessa,Amanda,Vanessa,Vanessa,Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),Eliminada(Dia 10),12
,Rodrigo,Clara,Amanda,Aline,Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),Eliminado(Dia 8),3
,Alisson,Diego,Roni,Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),Eliminado(Dia 6),1
,João,Diego,Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),Eliminado(Dia 3),4
,,,,,,,,,,,,,,,,,,,,
Notas,Notas,"1, 2","3, 4","5, 6","7, 8","9, 10","11, 12","13, 14","15, 16","17, 18",19,(nenhuma),"20, 21, 22",23,(nenhuma),24,25,"26, 27",28,
Paredão,Paredão,DiegoJoãoValter,AlissonAmandaPrincy,AlineAngelaRodrigo,MarceloPrincyVanessa,BellaDiegoFranciele,CássioFrancieleVagner,AmandaMarceloVanessa,Aline Junior Vanessa,Cássio Diego Letícia,DiegoRoni,AngelaFranciele,AlineMarcelo,DiegoMarceloVanessa,CássioMarcelo,MarceloTatiele,ClaraValter,MarceloVanessa,AngelaClaraVanessa,
Eliminado,Eliminado,João44%para eliminar,Alisson40%para eliminar,Rodrigo48%para eliminar,Princy64%para eliminar,Bella56%para eliminar,Vagner50%para eliminar,Amanda65%para eliminar,Junior68%para eliminar,Letícia54%para eliminar,Roni60%para eliminar,Franciele66%para eliminar,Aline80%para eliminar,Diego61%para eliminar,Cássio62%para eliminar,Tatiele54%para eliminar,Valter75%para eliminar,Marcelo55%para eliminar,Clara19%para vencer,
Eliminado,Eliminado,João44%para eliminar,Alisson40%para eliminar,Rodrigo48%para eliminar,Princy64%para eliminar,Bella56%para eliminar,Vagner50%para eliminar,Amanda65%para eliminar,Junior68%para eliminar,Letícia54%para eliminar,Roni60%para eliminar,Franciele66%para eliminar,Aline80%para eliminar,Diego61%para eliminar,Cássio62%para eliminar,Tatiele54%para eliminar,Valter75%para eliminar,Marcelo55%para eliminar,Angela28%para vencer,
Outras %,Outras %,DiegoNão divulgadopara eliminar,AmandaNão divulgadopara eliminar,AlineNão divulgadopara eliminar,MarceloNão divulgadopara eliminar,DiegoNão divulgadopara eliminar,CássioNão divulgadopara eliminar,MarceloNão divulgadopara eliminar,AlineNão divulgadopara eliminar,CássioNão divulgadopara eliminar,Diego40%para eliminar,Angela34%para eliminar,Marcelo20%para eliminar,MarceloNão divulgadopara eliminar,Marcelo38%para eliminar,Marcelo46%para eliminar,Clara25%para eliminar,Vanessa45%para eliminar,Vanessa53%para vencer,
Outras %,Outras %,ValterNão divulgadopara eliminar,PrincyNão divulgadopara eliminar,AngelaNão divulgadopara eliminar,VanessaNão divulgadopara eliminar,FrancieleNão divulgadopara eliminar,FrancieleNão divulgadopara eliminar,VanessaNão divulgadopara eliminar,VanessaNão divulgadopara eliminar,DiegoNão divulgadopara eliminar,Diego40%para eliminar,Angela34%para eliminar,Marcelo20%para eliminar,VanessaNão divulgadopara eliminar,Marcelo38%para eliminar,Marcelo46%para eliminar,Clara25%para eliminar,Vanessa45%para eliminar,Vanessa53%para vencer,
