,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Votos recebidos
,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 75,Final,Votos recebidos
Líder,Agustinho,Inês,InêsIran,Iran,Agustinho,Carlos,Gustavo,Mariana,Mara,Mariana,Rafael,(nenhum),
Anjo,Thaís,CarlosRoberta,Thaís,Carlos,Mariana,(nenhum),Mara,Carlos,Gustavo,(nenhum),(nenhum),(nenhum),
Imunizado,Léa,Daniel,Roberta,Inês,Carlos,(nenhum),Agustinho,Iran,Mariana,(nenhum),(nenhum),(nenhum),
Indicado(Líder),Juliana,Carlos,Daniel,Roberta,Léa,Thaís,Mara,Agustinho,Rafael,Agustinho,Mara,(nenhum),
Indicado(Casa),Inês,Dan,Agustinho,Rafael,Rafael,Gustavo,Inês,Carlos,Iran,Gustavo,Agustinho,(nenhum),
,,,,,,,,,,,,,,
Mara,Daniel,Dan,Carlos,Rafael,Thaís,Gustavo,Rafael,Gustavo,Líder,Gustavo,Agustinho,Vencedora(Dia 78),10
Mariana,Inês,Agustinho,Rafael,Léa,Rafael,Iran,Iran,Carlos,Iran,Líder,Nãoelegível,2º lugar(Dia 78),3
Rafael,Dan,Dan,Thaís,Mara,Inês,Mara,Inês,Carlos,Iran,Gustavo,Líder,3º lugar(Dia 78),13
Agustinho,Líder,Dan,Rafael,Léa,Líder,Gustavo,Inês,Carlos,Gustavo,Gustavo,Nãoelegível,Eliminado(Dia 76),10
Gustavo,Thaís,Léa,Agustinho,Rafael,Rafael,Agustinho,Líder,Mara,Iran,Rafael,Eliminado(Dia 71),Eliminado(Dia 71),10
Iran,Dan,Dan,Líder,Líder,Rafael,Inês,Inês,Mara,Gustavo,Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),9
Carlos,Inês,Léa,Agustinho,Thaís,Thaís,Gustavo,Inês,Rafael,Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),Eliminado(Dia 57),9
Inês,Daniel,Líder,Líder,Rafael,Rafael,Iran,Carlos,Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),Eliminada(Dia 50),11
Thaís,Mara,Iran,Mariana,Carlos,Inês,Mara,Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),Eliminada(Dia 43),7
Léa,Carlos,Mariana,Carlos,Mariana,Iran,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),5
Roberta,Gustavo,Iran,Agustinho,Mara,Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),1
Daniel,Inês,Thaís,Agustinho,Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),Eliminado(Dia 22),3
Dan,Mara,Agustinho,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),6
Juliana,Inês,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),1
,,,,,,,,,,,,,,
Notas,(nenhuma),(nenhuma),(nenhuma),(nenhuma),(nenhuma),1,(nenhuma),2,(nenhuma),(nenhuma),3,4,
Paredão,InêsJuliana,CarlosDan,AgustinhoDaniel,RafaelRoberta,LéaRafael,GustavoThaís,InêsMara,AgustinhoCarlos,IranRafael,AgustinhoGustavo,AgustinhoMara,MaraMarianaRafael,
Eliminado,Juliana52%para eliminar,Dan69%para eliminar,Daniel67%para eliminar,Roberta76%para eliminar,Léa71%para eliminar,Thaís57%para eliminar,Inês78%para eliminar,Carlos59%para eliminar,Iran63%para eliminar,Gustavo63%para eliminar,Agustinho52%para eliminar,Rafael19%para vencer,
Eliminado,Juliana52%para eliminar,Dan69%para eliminar,Daniel67%para eliminar,Roberta76%para eliminar,Léa71%para eliminar,Thaís57%para eliminar,Inês78%para eliminar,Carlos59%para eliminar,Iran63%para eliminar,Gustavo63%para eliminar,Agustinho52%para eliminar,Mariana34%para vencer,
Eliminado,Juliana52%para eliminar,Dan69%para eliminar,Daniel67%para eliminar,Roberta76%para eliminar,Léa71%para eliminar,Thaís57%para eliminar,Inês78%para eliminar,Carlos59%para eliminar,Iran63%para eliminar,Gustavo63%para eliminar,Agustinho52%para eliminar,Mara47%para vencer,
Outras %,Inês48%para eliminar,Carlos31%para eliminar,Agustinho33%para eliminar,Rafael24%para eliminar,Rafael29%para eliminar,Gustavo43%para eliminar,Mara22%para eliminar,Agustinho41%para eliminar,Rafael37%para eliminar,Agustinho37%para eliminar,Mara48%para eliminar,Mara47%para vencer,
