,,Sem 1,Sem 2,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Sem 12,Sem 12,Sem 13,Sem 13,Sem 14,Sem 14,Votos recebidos
,,Sem 1,Bolha,Dia 13,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 74,Dia 76,Dia 81,Dia 83,Dia 88,Dia 90,Dia 94,Final,Votos recebidos
Líder,Líder,Petrix,(nenhum),Guilherme,Gabi,Guilherme,Rafa,Ivy,Pyong,Felipe,Thelma,Gizelly,Flayslane,Thelma,Ivy,Manu,Mari,Rafa,(nenhum),(nenhum),
Anjo,Anjo,Mari,(nenhum),Babu,Lucas,Victor Hugo,Pyong,Guilherme,Ivy,DanielIvy,Rafa,Marcela,Gabi,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Imunizado,Mari,(nenhum),Thelma,Lucas,Mari,Daniel,Flayslane,Ivy,Gizelly,Gabi,Thelma,Rafa,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,Big Fone,(nenhum),(nenhum),Petrix,(nenhum),Felipe,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Indicado(Big Fone),Indicado(Big Fone),(nenhum),(nenhum),Pyong,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),BabuRafaThelma,(nenhum),
Indicado(Contragolpe),Indicado(Contragolpe),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),GizellyPyong,(nenhum),(nenhum),Ivy,Manu,Gabi,(nenhum),(nenhum),(nenhum),Thelma,Babu,BabuRafaThelma,(nenhum),
Indicado(Líder),Indicado(Líder),Bianca,(nenhum),Babu,Hadson,Lucas,Bianca,Guilherme,Victor Hugo,Pyong,Flayslane,Felipe,Thelma,Flayslane,Thelma,Mari,Rafa,Mari,BabuRafaThelma,(nenhum),
Indicado(Casa),Indicado(Casa),ChumboPyong,(nenhum),Hadson,FelipeVictor Hugo,BabuVictor Hugo,Felipe,Felipe,Babu,Flayslane,Felipe,Flayslane,Babu,BabuMarcela,BabuFlayslane,BabuGizelly,Ivy,Manu,BabuRafaThelma,(nenhum),
