,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Sem 11,Votosrecebidos
,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Dia 75,Dia 76,Final,Votosrecebidos
Líder,Juliana,Bianca,Thalita,Gyselle,Thatiana,Marcelo,Marcelo,Rafinha,Thatiana,Rafinha,Natália,Rafinha,(nenhum),
Anjo,Gyselle,Fernando,Marcos,Thatiana,Bianca,Juliana,Thatiana,Juliana,Rafinha,(nenhum),(nenhum),(nenhum),(nenhum),
Imunizado,Rafinha,Natália,Rafinha,Juliana,Fernando,Felipe,Juliana,Thatiana,Gyselle,(nenhum),(nenhum),(nenhum),(nenhum),
Big Fone,(nenhum),Rafael,(nenhum),Bianca,Marcelo,Felipe,Thatiana,Marcos,Marcelo,Gyselle,Rafinha,(nenhum),(nenhum),
Indicado(Big Fone),(nenhum),(nenhum),Gyselle,Bianca,Marcelo,Thatiana,(nenhum),Marcelo,(nenhum),(nenhum),(nenhum),GyselleNatália,(nenhum),
Indicado(Líder),Gyselle,Rafael,Alexandre,Fernando,Bianca,Natália,Natália,Juliana,Marcelo,Thatiana,Gyselle,GyselleNatália,(nenhum),
Indicado(Casa),Jaqueline,Rafinha,Thatiana,Thalita,Felipe,Fernando,Felipe,Gyselle,Rafinha,Gyselle,Marcos,GyselleNatália,(nenhum),
,,,,,,,,,,,,,,
Rafinha,Marcelo,Thalita,Thatiana,Thalita,Juliana,Marcos,Marcos,Líder,Marcos,Líder,Nãoelegível,Líder,Vencedor (Dia 78),9
Gyselle,Felipe,Felipe,Fernando,Thalita,Natália,Fernando,Felipe,Marcos,Natália,Marcos,Marcos,Paredão,2º lugar(Dia 78),18
Natália,Jaqueline,Juliana,Juliana,Marcelo,Rafinha,Gyselle,Gyselle,Gyselle,Rafinha,Gyselle,Líder,Paredão,Eliminada(Dia 76),7
Marcos,Jaqueline,Thalita,Bianca,Thalita,Felipe,Fernando,Felipe,Gyselle,Rafinha,Gyselle,Nãoelegível,Eliminado(Dia 75),Eliminado(Dia 75),15
Thatiana,Jaqueline,Rafinha,Fernando,Rafinha,Felipe,Fernando,Felipe,Gyselle,Rafinha,Gyselle,Eliminada(Dia 71),Eliminada(Dia 71),Eliminada(Dia 71),5
Marcelo,Fernando,Rafinha,Thatiana,Thalita,Natália,Líder,Líder,Marcos,Natália,Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),Eliminado(Dia 64),9
Juliana,Líder,Gyselle,Marcelo,Thalita,Felipe,Fernando,Gyselle,Gyselle,Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),Eliminada(Dia 57),5
Felipe,Marcos,Gyselle,Marcos,Natália,Gyselle,Marcos,Marcos,Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),Eliminado(Dia 50),10
Fernando,Jaqueline,Felipe,Marcos,Marcelo,Gyselle,Juliana,Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),Eliminado(Dia 43),8
Bianca,Rafael,Rafinha,Thatiana,Marcelo,Marcos,Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),Eliminada(Dia 36),2
Thalita,Alexandre,Marcos,Líder,Marcelo,Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),Eliminada(Dia 29),8
