,,Sem 1,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 5,Sem 6,Sem 7,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 11,Sem 12,Sem 12,Votos recebidos
,Leonardo,CasaBBB,Michelle,Priscila,Nãoelegível,Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),Desistente(Dia 21),0
,Norberto,CasaBBB,Líder,Alexandre,Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),Eliminado(Dia 15),8
,Michelle,CasaBBB,Priscila,Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),Eliminada(Dia 8),6
,Daniel,BolhaBBB,Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),Eliminado(Bolha),0
,Maíra Britto,BolhaBBB,Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),Eliminada(Bolha),0
,,,,,,,,,,,,,,,,,,,
Notas,Notas,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],(nenhuma),[14],[15][16],[17],
Paredão,Paredão,DanielEmanuelJosianeMaíra Britto,MaximilianoMichellePriscila,Ana CarolinaNaiáNorberto,AlexandreMaximilianoPriscila,Ana CarolinaMirlaNewton,André &Maíra Cardi,Ana CarolinaEmanuelMirla,AndréJosianeNaiá,FrancineMirla,Ana CarolinaRalf,Ana CarolinaMaíra Cardi,JosianeNaiá,MaximilianoMilena,Ana CarolinaJosiane,FlávioPriscila,Ana CarolinaMaximiliano,FrancineMaximilianoPriscila,
Desistente,Desistente,(nenhum),(nenhum),(nenhum),Leonardo,(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),(nenhum),
Eliminado,Eliminado,DanielNão divulgadopara entrar,Michelle52%para eliminar,Norberto55%para eliminar,Alexandre49%para eliminar,Newton72%para eliminar,André &Maíra Cardi59%para entrar,Emanuel43%para eliminar,André71%para eliminar,Mirla66%para eliminar,Ralf64%para eliminar,Maíra Cardi62%para eliminar,Naiá59%para eliminar,Milena63%para eliminar,Josiane68%para eliminar,Flávio69%para eliminar,Ana Carolina58%para eliminar,"Francine30,54%para vencer",
Eliminado,Eliminado,Maíra BrittoNão divulgadopara entrar,Michelle52%para eliminar,Norberto55%para eliminar,Alexandre49%para eliminar,Newton72%para eliminar,André &Maíra Cardi59%para entrar,Emanuel43%para eliminar,André71%para eliminar,Mirla66%para eliminar,Ralf64%para eliminar,Maíra Cardi62%para eliminar,Naiá59%para eliminar,Milena63%para eliminar,Josiane68%para eliminar,Flávio69%para eliminar,Ana Carolina58%para eliminar,"Priscila34,61%para vencer",
Outras %,Outras %,Josiane37%para entrar,MaximilianoNão divulgadopara eliminar,Naiá34%para eliminar,Priscila43%para eliminar,Ana Carolina24%para eliminar,André &Maíra Cardi41%para não entrar,Ana Carolina41%para eliminar,Naiá25%para eliminar,Francine34%para eliminar,Ana Carolina36%para eliminar,Ana Carolina38%para eliminar,Josiane41%para eliminar,Maximiliano37%para eliminar,Ana Carolina32%para eliminar,Priscila31%para eliminar,Maximiliano42%para eliminar,"Maximiliano34,85%para vencer",
Outras %,Outras %,Emanuel41%para entrar,PriscilaNão divulgadopara eliminar,Ana Carolina11%para eliminar,Maximiliano8%para eliminar,Mirla4%para eliminar,André &Maíra Cardi41%para não entrar,Mirla16%para eliminar,Josiane4%para eliminar,Francine34%para eliminar,Ana Carolina36%para eliminar,Ana Carolina38%para eliminar,Josiane41%para eliminar,Maximiliano37%para eliminar,Ana Carolina32%para eliminar,Priscila31%para eliminar,Maximiliano42%para eliminar,"Maximiliano34,85%para vencer",
